Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086282,2022,01,01,38.4,1,N
IDCJAC0010,086282,2022,01,02,32.6,1,N
IDCJAC0010,086282,2022,01,03,21.8,1,N
IDCJAC0010,086282,2022,01,04,22.9,1,N
IDCJAC0010,086282,2022,01,05,30.1,1,N
IDCJAC0010,086282,2022,01,06,30.6,1,N
IDCJAC0010,086282,2022,01,07,27.0,1,N
IDCJAC0010,086282,2022,01,08,20.8,1,N
IDCJAC0010,086282,2022,01,09,23.3,1,N
IDCJAC0010,086282,2022,01,10,31.6,1,N
IDCJAC0010,086282,2022,01,11,29.3,1,N
IDCJAC0010,086282,2022,01,12,30.5,1,N
IDCJAC0010,086282,2022,01,13,35.2,1,N
IDCJAC0010,086282,2022,01,14,33.4,1,N
IDCJAC0010,086282,2022,01,15,25.3,1,N
IDCJAC0010,086282,2022,01,16,31.5,1,N
IDCJAC0010,086282,2022,01,17,25.0,1,N
IDCJAC0010,086282,2022,01,18,22.8,1,N
IDCJAC0010,086282,2022,01,19,27.7,1,N
IDCJAC0010,086282,2022,01,20,29.8,1,N
IDCJAC0010,086282,2022,01,21,31.7,1,N
IDCJAC0010,086282,2022,01,22,33.3,1,N
IDCJAC0010,086282,2022,01,23,34.1,1,N
IDCJAC0010,086282,2022,01,24,35.1,1,N
IDCJAC0010,086282,2022,01,25,34.4,1,N
IDCJAC0010,086282,2022,01,26,37.3,1,N
IDCJAC0010,086282,2022,01,27,33.3,1,N
IDCJAC0010,086282,2022,01,28,34.5,1,N
IDCJAC0010,086282,2022,01,29,21.6,1,N
IDCJAC0010,086282,2022,01,30,28.7,1,N
IDCJAC0010,086282,2022,01,31,35.2,1,N
IDCJAC0010,086282,2022,02,01,25.4,1,Y
IDCJAC0010,086282,2022,02,02,19.3,1,Y
IDCJAC0010,086282,2022,02,03,18.7,1,Y
IDCJAC0010,086282,2022,02,04,23.6,1,Y
IDCJAC0010,086282,2022,02,05,26.3,1,Y
IDCJAC0010,086282,2022,02,06,27.9,1,Y
IDCJAC0010,086282,2022,02,07,28.4,1,Y
IDCJAC0010,086282,2022,02,08,31.1,1,Y
IDCJAC0010,086282,2022,02,09,32.0,1,Y
IDCJAC0010,086282,2022,02,10,24.0,1,Y
IDCJAC0010,086282,2022,02,11,22.3,1,Y
IDCJAC0010,086282,2022,02,12,28.8,1,Y
IDCJAC0010,086282,2022,02,13,33.3,1,Y
IDCJAC0010,086282,2022,02,14,34.6,1,Y
IDCJAC0010,086282,2022,02,15,24.9,1,Y
IDCJAC0010,086282,2022,02,16,27.7,1,Y
IDCJAC0010,086282,2022,02,17,24.1,1,Y
IDCJAC0010,086282,2022,02,18,22.3,1,Y
IDCJAC0010,086282,2022,02,19,24.4,1,Y
IDCJAC0010,086282,2022,02,20,29.5,1,Y
IDCJAC0010,086282,2022,02,21,20.8,1,Y
IDCJAC0010,086282,2022,02,22,24.9,1,Y
IDCJAC0010,086282,2022,02,23,33.2,1,Y
IDCJAC0010,086282,2022,02,24,23.9,1,Y
IDCJAC0010,086282,2022,02,25,23.7,1,Y
IDCJAC0010,086282,2022,02,26,29.3,1,Y
IDCJAC0010,086282,2022,02,27,26.8,1,Y
IDCJAC0010,086282,2022,02,28,25.8,1,Y
IDCJAC0010,086282,2022,03,01,25.9,1,N
IDCJAC0010,086282,2022,03,02,29.4,1,N
IDCJAC0010,086282,2022,03,03,30.6,1,N
IDCJAC0010,086282,2022,03,04,32.8,1,N
IDCJAC0010,086282,2022,03,05,21.8,1,N
IDCJAC0010,086282,2022,03,06,20.8,1,N
IDCJAC0010,086282,2022,03,07,24.0,1,N
IDCJAC0010,086282,2022,03,08,20.5,1,N
IDCJAC0010,086282,2022,03,09,21.4,1,N
IDCJAC0010,086282,2022,03,10,20.8,1,N
IDCJAC0010,086282,2022,03,11,20.7,1,N
IDCJAC0010,086282,2022,03,12,22.4,1,N
IDCJAC0010,086282,2022,03,13,29.1,1,N
IDCJAC0010,086282,2022,03,14,28.6,1,N
IDCJAC0010,086282,2022,03,15,26.0,1,N
IDCJAC0010,086282,2022,03,16,23.4,1,N
IDCJAC0010,086282,2022,03,17,30.5,1,N
IDCJAC0010,086282,2022,03,18,21.7,1,N
IDCJAC0010,086282,2022,03,19,30.4,1,N
IDCJAC0010,086282,2022,03,20,27.5,1,N
IDCJAC0010,086282,2022,03,21,30.4,1,N
IDCJAC0010,086282,2022,03,22,22.4,1,N
IDCJAC0010,086282,2022,03,23,19.7,1,N
IDCJAC0010,086282,2022,03,24,20.5,1,N
IDCJAC0010,086282,2022,03,25,20.8,1,N
IDCJAC0010,086282,2022,03,26,24.6,1,N
IDCJAC0010,086282,2022,03,27,28.7,1,N
IDCJAC0010,086282,2022,03,28,25.8,1,N
IDCJAC0010,086282,2022,03,29,20.5,1,N
IDCJAC0010,086282,2022,03,30,21.0,1,N
IDCJAC0010,086282,2022,03,31,21.4,1,N
